RollNo,CGPA
U18ME001,5.22
U18ME002,7.58
U18ME003,6.31
U18ME004,8.75
U18ME005,9.69
U18ME007,8.93
U18ME008,9.26
U18ME010,7.79
U18ME011,8.01
U18ME012,7.07
U18ME013,6.91
U18ME014,7.00
U18ME015,7.79
U18ME016,8.06
U18ME017,8.70
U18ME018,6.79
U18ME019,7.97
U18ME020,7.19
U18ME021,7.57
U18ME022,9.39
U18ME023,6.67
U18ME024,8.94
U18ME025,9.75
U18ME026,9.31
U18ME027,8.01
U18ME028,9.63
U18ME029,8.17
U18ME030,7.93
U18ME031,7.63
U18ME032,7.99
U18ME033,6.63
U18ME034,8.71
U18ME035,7.65
U18ME036,8.49
U18ME037,8.83
U18ME038,7.51
U18ME039,6.64
U18ME040,6.69
U18ME041,6.58
U18ME042,6.08
U18ME043,6.24
U18ME046,8.08
U18ME047,8.11
U18ME048,7.64
U18ME049,5.85
U18ME050,8.60
U18ME051,7.75
U18ME052,5.71
U18ME053,8.87
U18ME054,8.06
U18ME055,8.10
U18ME056,7.57
U18ME057,6.24
U18ME058,6.19
U18ME059,5.40
U18ME060,8.08
U18ME061,7.96
U18ME062,6.45
U18ME063,8.25
U18ME064,8.74
U18ME065,8.63
U18ME066,7.62
U18ME067,8.36
U18ME068,5.93
U18ME069,9.38
U18ME070,7.54
U18ME071,8.96
U18ME072,7.15
U18ME073,8.22
U18ME074,6.63
U18ME075,6.41
U18ME077,8.82
U18ME078,8.04
U18ME079,6.44
U18ME080,8.50
U18ME081,6.35
U18ME082,6.85
U18ME083,6.00
U18ME084,6.82
U18ME085,8.11
U18ME086,7.85
U18ME087,7.99
U18ME088,7.42
U18ME089,7.19
U18ME090,8.24
U18ME092,7.94
U18ME093,7.51
U18ME094,5.98
U18ME095,6.32
U18ME096,6.32
U18ME097,9.22
U18ME098,6.96
U18ME099,9.49
U18ME100,8.56
U18ME101,7.92
U18ME102,8.42
U18ME103,7.50
U18ME104,8.19
U18ME105,8.08
U18ME106,7.02
U18ME107,7.26
U18ME108,6.45
U18ME109,6.71
U18ME110,8.08
U18ME111,6.71
U18ME112,7.07
U18ME113,7.04
U18ME114,6.43
U18ME115,8.54
U18ME116,8.50
U18ME117,7.67
U18ME118,7.67
U18ME119,7.38
U18ME120,7.18
U18ME121,7.24
U18ME122,6.08
U18ME123,7.36
U18ME124,5.47
U18ME125,6.71
U18ME126,7.53
U18ME127,8.44
U18ME128,6.71
U18ME129,7.75
U18ME130,8.31
U18ME131,6.89
U18ME132,6.17
U18ME133,9.08
U18ME134,7.06
U18ME135,8.21
U18ME136,7.79
U18ME138,7.85
U18ME139,8.61
U18ME140,9.00
U18ME141,7.44
U18ME142,6.19
U18ME143,8.13
U18ME145,7.93
U18ME146,8.39
U18ME147,7.14
U18ME148,7.85
U18ME149,8.56
U18ME150,8.33
U18ME151,7.54
U18ME152,7.49
U18ME153,7.53
U18ME154,7.13
U18ME155,7.90
U18ME156,7.60
U18ME157,8.18
U18ME160,6.12
U18ME161,6.45
U18ME163,5.78
U18ME164,8.18
U18ME166,6.53
U18ME167,6.61
U18ME168,7.99
U18ME169,5.35
U18ME170,8.31
U18ME171,7.90
U18ME172,6.85
U18ME173,6.53
U18ME174,7.58
U18ME175,7.68
U18ME177,7.29
U18ME178,6.00
U18ME179,8.28
U18ME180,7.68
U18ME181,9.43
U18ME182,8.79
U18ME183,6.35
U18ME184,7.35
U18ME185,5.71
U18ME186,8.93
U18ME187,7.40
U18ME188,6.61
U18ME189,7.60
U18ME190,7.25
U18ME191,7.69
U18ME192,6.37
U18ME193,7.53
U18ME194,6.24
U18ME196,6.29
U18ME197,6.22
U18ME198,8.22
U18ME199,6.40
U18ME200,8.01
U18ME201,6.94
U18ME202,6.83
U18ME203,6.24
U18ME204,8.42
U18ME205,7.76
U18ME206,8.33
U18ME207,8.99
U18ME208,7.32
U18ME209,8.76
U18ME210,6.56
U18ME211,8.90
U18ME212,7.49
U18ME213,8.39
U18ME214,8.07
U18ME215,6.57
U18ME216,7.61
U18ME217,8.96
U18ME218,8.26
U18ME220,7.97
U18ME221,7.53
U18ME222,9.31
U18ME226,6.31
U18ME227,6.47
U18ME228,9.28
U18ME229,8.76
U18ME230,8.42
U18ME231,8.33
U18ME232,7.75
U18ME233,8.10
U18ME234,7.75
U18ME235,7.56
U18ME236,7.69
U18ME237,7.36
