RollNo,CGPA
U18ME001,5.46
U18ME002,7.98
U18ME003,6.35
U18ME004,8.74
U18ME005,9.68
U18ME006,9.12
U18ME007,9.02
U18ME008,9.22
U18ME009,8.36
U18ME010,7.58
U18ME011,7.62
U18ME012,7.04
U18ME013,7.53
U18ME014,6.82
U18ME015,7.76
U18ME016,7.90
U18ME017,8.77
U18ME018,6.40
U18ME019,7.96
U18ME020,7.02
U18ME021,7.86
U18ME022,9.32
U18ME023,6.62
U18ME024,8.91
U18ME025,9.66
U18ME026,9.08
U18ME027,7.88
U18ME028,9.54
U18ME029,8.14
U18ME030,7.80
U18ME031,7.54
U18ME032,8.00
U18ME033,6.55
U18ME034,8.50
U18ME035,8.00
U18ME036,8.40
U18ME037,8.78
U18ME038,7.28
U18ME039,6.60
U18ME040,6.81
U18ME041,6.12
U18ME042,5.94
U18ME043,6.21
U18ME046,7.98
U18ME047,8.12
U18ME048,7.68
U18ME049,6.03
U18ME050,8.72
U18ME051,8.28
U18ME052,5.43
U18ME053,8.91
U18ME054,8.36
U18ME055,8.24
U18ME056,7.18
U18ME057,6.00
U18ME058,6.00
U18ME059,5.64
U18ME060,8.14
U18ME061,7.80
U18ME062,6.30
U18ME063,8.40
U18ME064,9.00
U18ME065,8.68
U18ME066,7.60
U18ME067,8.56
U18ME068,6.19
U18ME069,9.45
U18ME070,7.52
U18ME071,8.72
U18ME072,7.34
U18ME073,8.06
U18ME074,6.78
U18ME075,6.30
U18ME077,8.84
U18ME078,7.80
U18ME079,6.30
U18ME080,8.52
U18ME081,6.49
U18ME082,6.72
U18ME083,6.14
U18ME084,7.26
U18ME085,8.20
U18ME086,7.89
U18ME087,8.26
U18ME088,7.40
U18ME089,7.30
U18ME090,8.24
U18ME092,7.98
U18ME093,7.42
U18ME094,5.79
U18ME095,6.38
U18ME096,6.50
U18ME097,9.08
U18ME098,7.10
U18ME099,9.32
U18ME100,8.64
U18ME101,7.88
U18ME102,8.10
U18ME103,7.40
U18ME104,8.32
U18ME105,7.80
U18ME106,7.02
U18ME107,7.09
U18ME108,6.56
U18ME109,6.86
U18ME110,8.10
U18ME111,6.82
U18ME112,6.76
U18ME113,7.10
U18ME114,6.32
U18ME115,8.70
U18ME116,8.20
U18ME117,7.68
U18ME118,7.50
U18ME119,7.32
U18ME120,7.06
U18ME121,7.20
U18ME122,5.93
U18ME123,7.46
U18ME124,5.30
U18ME125,6.48
U18ME126,7.54
U18ME127,8.66
U18ME128,6.42
U18ME129,7.64
U18ME130,8.26
U18ME131,7.04
U18ME132,5.95
U18ME133,8.96
U18ME134,7.26
U18ME135,8.18
U18ME136,7.82
U18ME137,9.60
U18ME138,8.00
U18ME139,8.74
U18ME140,8.76
U18ME141,7.40
U18ME142,6.18
U18ME143,7.96
U18ME144,5.05
U18ME145,7.82
U18ME146,8.62
U18ME147,6.84
U18ME148,7.80
U18ME149,8.58
U18ME150,8.32
U18ME151,7.72
U18ME152,7.50
U18ME153,7.70
U18ME154,6.76
U18ME155,7.86
U18ME156,7.54
U18ME157,8.08
U18ME158,5.62
U18ME159,6.68
U18ME160,6.02
U18ME161,6.47
U18ME162,5.57
U18ME163,5.70
U18ME164,8.22
U18ME165,5.64
U18ME166,6.66
U18ME167,6.44
U18ME168,8.14
U18ME169,5.50
U18ME170,8.08
U18ME171,7.84
U18ME172,6.88
U18ME173,6.40
U18ME174,7.78
U18ME175,7.48
U18ME176,6.62
U18ME177,7.79
U18ME178,6.05
U18ME179,8.44
U18ME180,7.71
U18ME181,9.42
U18ME182,8.46
U18ME183,6.57
U18ME184,6.96
U18ME185,5.62
U18ME186,8.88
U18ME187,7.34
U18ME188,6.52
U18ME189,7.60
U18ME190,7.10
U18ME191,7.50
U18ME192,6.28
U18ME193,7.44
U18ME194,6.09
U18ME195,5.08
U18ME196,6.20
U18ME197,6.08
U18ME198,8.12
U18ME199,6.20
U18ME200,7.92
U18ME201,7.09
U18ME202,7.10
U18ME203,6.06
U18ME204,8.26
U18ME205,7.70
U18ME206,8.22
U18ME207,9.02
U18ME208,7.38
U18ME209,8.56
U18ME210,6.39
U18ME211,8.76
U18ME212,7.02
U18ME213,8.52
U18ME214,8.08
U18ME215,6.52
U18ME216,7.54
U18ME217,8.82
U18ME218,8.16
U18ME219,8.98
U18ME220,8.08
U18ME221,7.48
U18ME222,9.28
U18ME223,5.44
U18ME224,8.86
U18ME226,6.15
U18ME227,6.54
U18ME228,9.3
U18ME229,8.92
U18ME230,8.62
U18ME231,8.34
U18ME232,8.12
U18ME233,8.08
U18ME234,7.96
U18ME235,8
U18ME236,7.76
U18ME237,7.44
